* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:18:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-T50VS-1025-N001 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
20.141602; 1.58713E-5; -2.4473
20.507812; 1.60300E-5; -2.1390
20.874023; 1.61353E-5; -1.7691
21.240234; 1.62024E-5; -1.3949
21.606445; 1.62351E-5; -1.0414
21.972656; 1.62339E-5; -0.7158
22.338867; 1.62037E-5; -0.4367
22.705078; 1.61516E-5; -0.1875
23.071289; 1.60868E-5; 0.0290
23.437500; 1.60172E-5; 0.1995
23.803711; 1.59471E-5; 0.3348
24.169922; 1.58798E-5; 0.4316
24.536132; 1.58177E-5; 0.4961
24.902343; 1.57637E-5; 0.5439
25.268554; 1.57212E-5; 0.5719
25.634765; 1.56921E-5; 0.5889
26.000976; 1.56754E-5; 0.6007
26.367187; 1.56686E-5; 0.6014
26.733398; 1.56692E-5; 0.6086
27.099609; 1.56761E-5; 0.6263
27.465820; 1.56899E-5; 0.6537
27.832031; 1.57091E-5; 0.6982
28.198242; 1.57326E-5; 0.7522
28.564452; 1.57569E-5; 0.8142
28.930663; 1.57782E-5; 0.8877
29.296874; 1.57937E-5; 0.9671
29.663085; 1.58045E-5; 1.0572
30.029296; 1.58118E-5; 1.1561
30.395507; 1.58175E-5; 1.2521
30.761718; 1.58193E-5; 1.3464
31.127929; 1.58164E-5; 1.4336
31.494140; 1.58080E-5; 1.5117
31.860351; 1.57948E-5; 1.5860
32.226562; 1.57781E-5; 1.6540
32.592772; 1.57601E-5; 1.7172
32.958983; 1.57438E-5; 1.7774
33.325194; 1.57331E-5; 1.8286
33.691405; 1.57268E-5; 1.8742
34.057616; 1.57241E-5; 1.9132
34.423827; 1.57230E-5; 1.9438
34.790038; 1.57232E-5; 1.9743
35.156249; 1.57249E-5; 2.0079
35.522460; 1.57296E-5; 2.0481
35.888671; 1.57395E-5; 2.0978
36.254882; 1.57559E-5; 2.1507
36.621092; 1.57765E-5; 2.2035
36.987303; 1.57968E-5; 2.2553
37.353514; 1.58130E-5; 2.3044
37.719725; 1.58230E-5; 2.3593
38.085936; 1.58269E-5; 2.4233
38.452147; 1.58256E-5; 2.4957
38.818358; 1.58223E-5; 2.5772
39.184569; 1.58194E-5; 2.6621
39.550780; 1.58174E-5; 2.7446
39.916991; 1.58152E-5; 2.8208
40.283201; 1.58106E-5; 2.8852
40.649412; 1.58018E-5; 2.9404
41.015623; 1.57887E-5; 2.9915
41.381834; 1.57740E-5; 3.0403
41.748045; 1.57620E-5; 3.0896
42.114256; 1.57555E-5; 3.1334
42.480467; 1.57533E-5; 3.1654
42.846678; 1.57522E-5; 3.1877
43.212889; 1.57495E-5; 3.2066
43.579100; 1.57469E-5; 3.2320
43.945311; 1.57490E-5; 3.2691
44.311521; 1.57590E-5; 3.3112
44.677732; 1.57760E-5; 3.3534
45.043943; 1.57956E-5; 3.3934
45.410154; 1.58143E-5; 3.4338
45.776365; 1.58299E-5; 3.4834
46.142576; 1.58432E-5; 3.5444
46.508787; 1.58553E-5; 3.6140
46.874998; 1.58663E-5; 3.6893
47.241209; 1.58745E-5; 3.7667
47.607420; 1.58794E-5; 3.8450
47.973631; 1.58803E-5; 3.9215
48.339841; 1.58767E-5; 3.9903
48.706052; 1.58649E-5; 4.0540
49.072263; 1.58447E-5; 4.1193
49.438474; 1.58212E-5; 4.1908
49.804685; 1.58047E-5; 4.2627
50.170896; 1.57980E-5; 4.3138
50.537107; 1.57926E-5; 4.3282
50.903318; 1.57747E-5; 4.3163
51.269529; 1.57430E-5; 4.3119
51.635740; 1.57144E-5; 4.3444
52.001951; 1.57154E-5; 4.4024
52.368161; 1.57533E-5; 4.4313
52.734372; 1.58040E-5; 4.3870
53.100583; 1.58257E-5; 4.2894
53.466794; 1.58016E-5; 4.2272
53.833005; 1.57655E-5; 4.2880
54.199216; 1.57825E-5; 4.4639
54.565427; 1.58870E-5; 4.6337
54.931638; 1.60353E-5; 4.6635
55.297849; 1.61282E-5; 4.5447
55.664060; 1.60958E-5; 4.4384
56.030271; 1.59787E-5; 4.5524
56.396481; 1.59105E-5; 4.9417
56.762692; 1.60018E-5; 5.4053
57.128903; 1.62122E-5; 5.6259
57.495114; 1.63449E-5; 5.4784
57.861325; 1.61977E-5; 5.2108
58.227536; 1.57678E-5; 5.3282
58.593747; 1.53239E-5; 6.2338
58.959958; 1.52538E-5; 7.7985
59.326169; 1.57735E-5; 9.2569
59.692380; 1.67333E-5; 9.7634
60.058591; 1.76676E-5; 9.0525
60.424801; 1.80947E-5; 7.5481
60.791012; 1.78224E-5; 6.0038
61.157223; 1.70694E-5; 5.1131
61.523434; 1.62867E-5; 5.1583
61.889645; 1.58443E-5; 5.8424
62.255856; 1.58139E-5; 6.5167
62.622067; 1.59924E-5; 6.7170
62.988278; 1.61089E-5; 6.4586
63.354489; 1.60333E-5; 6.0794
63.720700; 1.58340E-5; 5.9049
64.086910; 1.56724E-5; 6.0096
64.453121; 1.56502E-5; 6.2161
64.819332; 1.57420E-5; 6.3006
65.185543; 1.58428E-5; 6.1940
65.551754; 1.58719E-5; 6.0065
65.917965; 1.58331E-5; 5.8968
66.284176; 1.57920E-5; 5.9316
66.650387; 1.58052E-5; 6.0517
67.016598; 1.58733E-5; 6.1498
67.382809; 1.59505E-5; 6.1718
67.749020; 1.59949E-5; 6.1516
68.115230; 1.60002E-5; 6.1579
68.481441; 1.59922E-5; 6.2279
68.847652; 1.59973E-5; 6.3426
69.213863; 1.60211E-5; 6.4551
69.580074; 1.60486E-5; 6.5358
69.946285; 1.60622E-5; 6.5895
70.312496; 1.60571E-5; 6.6378
70.678707; 1.60404E-5; 6.6971
71.044918; 1.60216E-5; 6.7668
71.411129; 1.60050E-5; 6.8373
71.777340; 1.59923E-5; 6.9014
72.143550; 1.59840E-5; 6.9548
72.509761; 1.59798E-5; 6.9942
72.875972; 1.59765E-5; 7.0179
73.242183; 1.59698E-5; 7.0292
73.608394; 1.59575E-5; 7.0401
73.974605; 1.59432E-5; 7.0648
74.340816; 1.59359E-5; 7.1066
74.707027; 1.59429E-5; 7.1564
75.073238; 1.59632E-5; 7.1970
75.439449; 1.59872E-5; 7.2183
75.805660; 1.60054E-5; 7.2259
76.171870; 1.60139E-5; 7.2356
76.538081; 1.60162E-5; 7.2622
76.904292; 1.60186E-5; 7.3092
77.270503; 1.60259E-5; 7.3686
77.636714; 1.60379E-5; 7.4304
78.002925; 1.60513E-5; 7.4888
78.369136; 1.60630E-5; 7.5432
78.735347; 1.60717E-5; 7.5957
79.101558; 1.60778E-5; 7.6469
79.467769; 1.60812E-5; 7.6959
79.833980; 1.60815E-5; 7.7429
80.200190; 1.60780E-5; 7.7888
80.566401; 1.60723E-5; 7.8354
80.932612; 1.60669E-5; 7.8824
81.298823; 1.60640E-5; 7.9284
81.665034; 1.60630E-5; 7.9714
82.031245; 1.60632E-5; 8.0106
82.397456; 1.60647E-5; 8.0458
82.763667; 1.60672E-5; 8.0782
83.129878; 1.60707E-5; 8.1081
83.496089; 1.60741E-5; 8.1362
83.862300; 1.60764E-5; 8.1652
84.228510; 1.60780E-5; 8.1987
84.594721; 1.60804E-5; 8.2397
84.960932; 1.60863E-5; 8.2877
85.327143; 1.60972E-5; 8.3377
85.693354; 1.61121E-5; 8.3844
86.059565; 1.61281E-5; 8.4242
86.425776; 1.61416E-5; 8.4573
86.791987; 1.61498E-5; 8.4879
87.158198; 1.61520E-5; 8.5216
87.524409; 1.61497E-5; 8.5625
87.890619; 1.61469E-5; 8.6115
88.256830; 1.61472E-5; 8.6653
88.623041; 1.61509E-5; 8.7191
88.989252; 1.61565E-5; 8.7682
89.355463; 1.61620E-5; 8.8106
89.721674; 1.61657E-5; 8.8477
90.087885; 1.61667E-5; 8.8824
90.454096; 1.61657E-5; 8.9172
90.820307; 1.61639E-5; 8.9548
91.186518; 1.61629E-5; 8.9954
91.552729; 1.61640E-5; 9.0380
91.918939; 1.61679E-5; 9.0806
92.285150; 1.61742E-5; 9.1211
