* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:08:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-HILN-1225-N003 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
73.974605; 1.30462E-5; 6.1978
74.340816; 1.30450E-5; 6.2383
74.707027; 1.30479E-5; 6.2658
75.073238; 1.30503E-5; 6.2780
75.439449; 1.30479E-5; 6.2830
75.805660; 1.30419E-5; 6.2929
76.171870; 1.30370E-5; 6.3143
76.538081; 1.30374E-5; 6.3444
76.904292; 1.30431E-5; 6.3761
77.270503; 1.30515E-5; 6.4039
77.636714; 1.30591E-5; 6.4304
78.002925; 1.30651E-5; 6.4617
78.369136; 1.30709E-5; 6.5008
78.735347; 1.30784E-5; 6.5465
79.101558; 1.30877E-5; 6.5938
79.467769; 1.30972E-5; 6.6390
79.833980; 1.31050E-5; 6.6816
80.200190; 1.31093E-5; 6.7234
80.566401; 1.31105E-5; 6.7666
80.932612; 1.31100E-5; 6.8122
81.298823; 1.31098E-5; 6.8596
81.665034; 1.31099E-5; 6.9067
82.031245; 1.31103E-5; 6.9510
82.397456; 1.31106E-5; 6.9900
82.763667; 1.31101E-5; 7.0245
83.129878; 1.31081E-5; 7.0569
83.496089; 1.31055E-5; 7.0906
83.862300; 1.31041E-5; 7.1271
84.228510; 1.31061E-5; 7.1640
84.594721; 1.31118E-5; 7.1959
84.960932; 1.31190E-5; 7.2188
85.327143; 1.31247E-5; 7.2327
85.693354; 1.31261E-5; 7.2443
86.059565; 1.31234E-5; 7.2621
86.425776; 1.31192E-5; 7.2918
86.791987; 1.31166E-5; 7.3335
87.158198; 1.31172E-5; 7.3826
87.524409; 1.31210E-5; 7.4336
87.890619; 1.31271E-5; 7.4828
88.256830; 1.31347E-5; 7.5292
88.623041; 1.31424E-5; 7.5735
88.989252; 1.31492E-5; 7.6169
89.355463; 1.31554E-5; 7.6594
89.721674; 1.31612E-5; 7.7008
90.087885; 1.31666E-5; 7.7400
90.454096; 1.31712E-5; 7.7755
90.820307; 1.31743E-5; 7.8078
91.186518; 1.31754E-5; 7.8382
91.552729; 1.31744E-5; 7.8688
91.918939; 1.31720E-5; 7.9021
92.285150; 1.31698E-5; 7.9390
92.651361; 1.31691E-5; 7.9782
93.017572; 1.31704E-5; 8.0171
93.383783; 1.31733E-5; 8.0532
93.749994; 1.31766E-5; 8.0859
94.116205; 1.31790E-5; 8.1166
94.482416; 1.31798E-5; 8.1474
94.848627; 1.31805E-5; 8.1812
95.214838; 1.31827E-5; 8.2180
95.581049; 1.31871E-5; 8.2565
95.947259; 1.31933E-5; 8.2942
96.313470; 1.32004E-5; 8.3294
96.679681; 1.32071E-5; 8.3616
97.045892; 1.32123E-5; 8.3920
97.412103; 1.32158E-5; 8.4224
97.778314; 1.32182E-5; 8.4550
98.144525; 1.32201E-5; 8.4897
98.510736; 1.32220E-5; 8.5255
98.876947; 1.32237E-5; 8.5614
99.243158; 1.32249E-5; 8.5980
99.609369; 1.32255E-5; 8.6359
99.975579; 1.32261E-5; 8.6756
100.341790; 1.32274E-5; 8.7159
100.708001; 1.32296E-5; 8.7558
101.074212; 1.32324E-5; 8.7946
101.440423; 1.32353E-5; 8.8326
101.806634; 1.32383E-5; 8.8703
102.172845; 1.32418E-5; 8.9083
102.539056; 1.32462E-5; 8.9456
102.905267; 1.32516E-5; 8.9804
103.271478; 1.32569E-5; 9.0119
103.637689; 1.32610E-5; 9.0410
104.003899; 1.32637E-5; 9.0706
104.370110; 1.32644E-5; 9.1028
104.736321; 1.32655E-5; 9.1380
105.102532; 1.32681E-5; 9.1737
105.468743; 1.32722E-5; 9.2072
105.834954; 1.32757E-5; 9.2381
106.201165; 1.32774E-5; 9.2680
106.567376; 1.32772E-5; 9.3003
106.933587; 1.32762E-5; 9.3376
107.299798; 1.32760E-5; 9.3797
107.666009; 1.32781E-5; 9.4242
108.032219; 1.32825E-5; 9.4679
108.398430; 1.32884E-5; 9.5079
108.764641; 1.32946E-5; 9.5435
109.130852; 1.33000E-5; 9.5763
109.497063; 1.33042E-5; 9.6079
109.863274; 1.33075E-5; 9.6397
110.229485; 1.33103E-5; 9.6723
110.595696; 1.33128E-5; 9.7062
110.961907; 1.33156E-5; 9.7417
