* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:04:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-HILN-1225-N001 (HOT) Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
73.974605; 1.40757E-5; 6.2379
74.340816; 1.40843E-5; 6.2907
74.707027; 1.40876E-5; 6.3294
75.073238; 1.40817E-5; 6.3623
75.439449; 1.40676E-5; 6.4006
75.805660; 1.40520E-5; 6.4492
76.171870; 1.40406E-5; 6.5033
76.538081; 1.40356E-5; 6.5537
76.904292; 1.40343E-5; 6.5940
77.270503; 1.40336E-5; 6.6238
77.636714; 1.40319E-5; 6.6486
78.002925; 1.40297E-5; 6.6742
78.369136; 1.40291E-5; 6.7028
78.735347; 1.40317E-5; 6.7347
79.101558; 1.40382E-5; 6.7668
79.467769; 1.40474E-5; 6.7969
79.833980; 1.40575E-5; 6.8243
80.200190; 1.40660E-5; 6.8509
80.566401; 1.40724E-5; 6.8801
80.932612; 1.40779E-5; 6.9147
81.298823; 1.40845E-5; 6.9548
81.665034; 1.40919E-5; 6.9972
82.031245; 1.40989E-5; 7.0393
82.397456; 1.41040E-5; 7.0796
82.763667; 1.41066E-5; 7.1209
83.129878; 1.41072E-5; 7.1650
83.496089; 1.41072E-5; 7.2111
83.862300; 1.41070E-5; 7.2568
84.228510; 1.41058E-5; 7.2998
84.594721; 1.41030E-5; 7.3420
84.960932; 1.40991E-5; 7.3859
85.327143; 1.40962E-5; 7.4326
85.693354; 1.40966E-5; 7.4793
86.059565; 1.41004E-5; 7.5208
86.425776; 1.41056E-5; 7.5537
86.791987; 1.41093E-5; 7.5796
87.158198; 1.41099E-5; 7.6039
87.524409; 1.41085E-5; 7.6322
87.890619; 1.41082E-5; 7.6657
88.256830; 1.41116E-5; 7.7016
88.623041; 1.41176E-5; 7.7355
88.989252; 1.41237E-5; 7.7667
89.355463; 1.41285E-5; 7.7974
89.721674; 1.41320E-5; 7.8320
90.087885; 1.41360E-5; 7.8718
90.454096; 1.41418E-5; 7.9145
90.820307; 1.41500E-5; 7.9564
91.186518; 1.41591E-5; 7.9941
91.552729; 1.41670E-5; 8.0270
91.918939; 1.41721E-5; 8.0571
92.285150; 1.41742E-5; 8.0882
92.651361; 1.41741E-5; 8.1231
93.017572; 1.41735E-5; 8.1626
93.383783; 1.41740E-5; 8.2054
93.749994; 1.41763E-5; 8.2488
94.116205; 1.41799E-5; 8.2894
94.482416; 1.41833E-5; 8.3254
94.848627; 1.41861E-5; 8.3577
95.214838; 1.41884E-5; 8.3874
95.581049; 1.41898E-5; 8.4166
95.947259; 1.41903E-5; 8.4471
96.313470; 1.41904E-5; 8.4803
96.679681; 1.41910E-5; 8.5160
97.045892; 1.41924E-5; 8.5536
97.412103; 1.41952E-5; 8.5911
97.778314; 1.41988E-5; 8.6281
98.144525; 1.42026E-5; 8.6636
98.510736; 1.42057E-5; 8.6985
98.876947; 1.42080E-5; 8.7350
99.243158; 1.42100E-5; 8.7752
99.609369; 1.42132E-5; 8.8188
99.975579; 1.42182E-5; 8.8633
100.341790; 1.42251E-5; 8.9048
100.708001; 1.42322E-5; 8.9419
101.074212; 1.42381E-5; 8.9757
101.440423; 1.42417E-5; 9.0094
101.806634; 1.42440E-5; 9.0454
102.172845; 1.42462E-5; 9.0844
102.539056; 1.42497E-5; 9.1248
102.905267; 1.42543E-5; 9.1640
103.271478; 1.42593E-5; 9.2006
103.637689; 1.42636E-5; 9.2348
104.003899; 1.42671E-5; 9.2687
104.370110; 1.42690E-5; 9.3033
104.736321; 1.42711E-5; 9.3384
105.102532; 1.42738E-5; 9.3730
105.468743; 1.42774E-5; 9.4064
105.834954; 1.42805E-5; 9.4392
106.201165; 1.42831E-5; 9.4726
106.567376; 1.42859E-5; 9.5077
106.933587; 1.42895E-5; 9.5435
