* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2026, 11:29:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-T60VS-1125-N001 Jan 8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); W(W); Phase(degrees)
73.974605; 1.94250E-5; 6.9183
74.340816; 1.94296E-5; 6.9834
74.707027; 1.94405E-5; 7.0405
75.073238; 1.94527E-5; 7.0840
75.439449; 1.94591E-5; 7.1155
75.805660; 1.94584E-5; 7.1419
76.171870; 1.94524E-5; 7.1706
76.538081; 1.94455E-5; 7.2054
76.904292; 1.94409E-5; 7.2460
77.270503; 1.94407E-5; 7.2884
77.636714; 1.94448E-5; 7.3287
78.002925; 1.94511E-5; 7.3654
78.369136; 1.94574E-5; 7.3986
78.735347; 1.94629E-5; 7.4318
79.101558; 1.94681E-5; 7.4672
79.467769; 1.94739E-5; 7.5058
79.833980; 1.94813E-5; 7.5465
80.200190; 1.94892E-5; 7.5876
80.566401; 1.94968E-5; 7.6283
80.932612; 1.95041E-5; 7.6689
81.298823; 1.95119E-5; 7.7102
81.665034; 1.95190E-5; 7.7524
82.031245; 1.95253E-5; 7.7955
82.397456; 1.95308E-5; 7.8379
82.763667; 1.95354E-5; 7.8805
83.129878; 1.95390E-5; 7.9230
83.496089; 1.95414E-5; 7.9654
83.862300; 1.95424E-5; 8.0084
84.228510; 1.95423E-5; 8.0528
84.594721; 1.95425E-5; 8.1000
84.960932; 1.95448E-5; 8.1495
85.327143; 1.95510E-5; 8.1980
85.693354; 1.95607E-5; 8.2417
86.059565; 1.95715E-5; 8.2780
86.425776; 1.95797E-5; 8.3078
86.791987; 1.95834E-5; 8.3358
87.158198; 1.95827E-5; 8.3676
87.524409; 1.95808E-5; 8.4058
87.890619; 1.95823E-5; 8.4487
88.256830; 1.95891E-5; 8.4908
88.623041; 1.95981E-5; 8.5284
88.989252; 1.96052E-5; 8.5616
89.355463; 1.96085E-5; 8.5946
89.721674; 1.96091E-5; 8.6326
90.087885; 1.96101E-5; 8.6770
90.454096; 1.96146E-5; 8.7245
90.820307; 1.96227E-5; 8.7708
91.186518; 1.96321E-5; 8.8125
91.552729; 1.96399E-5; 8.8502
91.918939; 1.96446E-5; 8.8871
92.285150; 1.96472E-5; 8.9267
92.651361; 1.96501E-5; 8.9699
93.017572; 1.96550E-5; 9.0145
93.383783; 1.96621E-5; 9.0576
93.749994; 1.96698E-5; 9.0971
94.116205; 1.96759E-5; 9.1332
94.482416; 1.96787E-5; 9.1680
94.848627; 1.96800E-5; 9.2041
95.214838; 1.96821E-5; 9.2424
95.581049; 1.96859E-5; 9.2822
95.947259; 1.96908E-5; 9.3222
96.313470; 1.96967E-5; 9.3617
96.679681; 1.97027E-5; 9.4003
97.045892; 1.97082E-5; 9.4385
97.412103; 1.97134E-5; 9.4768
97.778314; 1.97185E-5; 9.5161
98.144525; 1.97241E-5; 9.5562
98.510736; 1.97303E-5; 9.5965
98.876947; 1.97370E-5; 9.6366
99.243158; 1.97441E-5; 9.6768
99.609369; 1.97513E-5; 9.7163
99.975579; 1.97582E-5; 9.7552
100.341790; 1.97646E-5; 9.7930
100.708001; 1.97702E-5; 9.8306
101.074212; 1.97752E-5; 9.8691
101.440423; 1.97798E-5; 9.9089
101.806634; 1.97847E-5; 9.9497
102.172845; 1.97904E-5; 9.9910
102.539056; 1.97968E-5; 10.0317
102.905267; 1.98037E-5; 10.0713
103.271478; 1.98104E-5; 10.1095
103.637689; 1.98165E-5; 10.1467
104.003899; 1.98219E-5; 10.1838
104.370110; 1.98251E-5; 10.2211
104.736321; 1.98278E-5; 10.2590
105.102532; 1.98309E-5; 10.2975
105.468743; 1.98351E-5; 10.3363
105.834954; 1.98394E-5; 10.3759
106.201165; 1.98440E-5; 10.4160
106.567376; 1.98492E-5; 10.4565
106.933587; 1.98549E-5; 10.4969
107.299798; 1.98609E-5; 10.5366
107.666009; 1.98672E-5; 10.5759
108.032219; 1.98737E-5; 10.6149
108.398430; 1.98807E-5; 10.6529
108.764641; 1.98878E-5; 10.6900
109.130852; 1.98946E-5; 10.7262
109.497063; 1.99006E-5; 10.7619
109.863274; 1.99057E-5; 10.7980
110.229485; 1.99101E-5; 10.8354
110.595696; 1.99149E-5; 10.8742
110.961907; 1.99205E-5; 10.9141
111.328118; 1.99270E-5; 10.9544
111.694328; 1.99343E-5; 10.9946
112.060539; 1.99422E-5; 11.0345
112.426750; 1.99507E-5; 11.0734
112.792961; 1.99597E-5; 11.1106
113.159172; 1.99680E-5; 11.1456
113.525383; 1.99740E-5; 11.1795
113.891594; 1.99773E-5; 11.2153
114.257805; 1.99794E-5; 11.2561
114.624016; 1.99836E-5; 11.3020
114.990227; 1.99923E-5; 11.3488
115.356438; 2.00030E-5; 11.3901
115.722648; 2.00129E-5; 11.4231
116.088859; 2.00177E-5; 11.4515
116.455070; 2.00175E-5; 11.4836
116.821281; 2.00157E-5; 11.5261
117.187492; 2.00197E-5; 11.5770
117.553703; 2.00333E-5; 11.6254
117.919914; 2.00520E-5; 11.6593
118.286125; 2.00654E-5; 11.6756
118.652336; 2.00646E-5; 11.6856
119.018547; 2.00498E-5; 11.7079
119.384758; 2.00314E-5; 11.7549
119.750968; 2.00242E-5; 11.8243
120.117179; 2.00362E-5; 11.8983
120.483390; 2.00640E-5; 11.9564
120.849601; 2.00945E-5; 11.9886
121.215812; 2.01148E-5; 12.0021
121.582023; 2.01203E-5; 12.0140
121.948234; 2.01166E-5; 12.0390
122.314445; 2.01138E-5; 12.0797
122.680656; 2.01188E-5; 12.1281
123.046867; 2.01314E-5; 12.1729
123.413078; 2.01461E-5; 12.2084
123.779288; 2.01570E-5; 12.2372
124.145499; 2.01627E-5; 12.2665
124.511710; 2.01656E-5; 12.3012
124.877921; 2.01691E-5; 12.3412
125.244132; 2.01751E-5; 12.3828
125.610343; 2.01828E-5; 12.4233
125.976554; 2.01908E-5; 12.4620
126.342765; 2.01980E-5; 12.4998
126.708976; 2.02048E-5; 12.5377
127.075187; 2.02115E-5; 12.5754
127.441398; 2.02180E-5; 12.6124
127.807608; 2.02239E-5; 12.6493
128.173819; 2.02294E-5; 12.6869
128.540030; 2.02352E-5; 12.7259
128.906241; 2.02421E-5; 12.7652
129.272452; 2.02500E-5; 12.8027
129.638663; 2.02578E-5; 12.8378
130.004874; 2.02643E-5; 12.8716
130.371085; 2.02674E-5; 12.9068
130.737296; 2.02702E-5; 12.9450
131.103507; 2.02751E-5; 12.9860
131.469718; 2.02840E-5; 13.0274
131.835928; 2.02952E-5; 13.0662
132.202139; 2.03066E-5; 13.1011
132.568350; 2.03163E-5; 13.1331
132.934561; 2.03236E-5; 13.1654
133.300772; 2.03296E-5; 13.1997
133.666983; 2.03360E-5; 13.2365
134.033194; 2.03439E-5; 13.2741
134.399405; 2.03528E-5; 13.3103
134.765616; 2.03613E-5; 13.3446
135.131827; 2.03685E-5; 13.3784
135.498037; 2.03742E-5; 13.4138
135.864248; 2.03795E-5; 13.4516
136.230459; 2.03858E-5; 13.4911
136.596670; 2.03936E-5; 13.5309
136.962881; 2.04024E-5; 13.5695
137.329092; 2.04112E-5; 13.6070
137.695303; 2.04192E-5; 13.6437
138.061514; 2.04264E-5; 13.6804
138.427725; 2.04332E-5; 13.7177
138.793936; 2.04401E-5; 13.7558
139.160147; 2.04473E-5; 13.7943
139.526357; 2.04553E-5; 13.8327
139.892568; 2.04636E-5; 13.8705
140.258779; 2.04721E-5; 13.9071
140.624990; 2.04803E-5; 13.9425
140.991201; 2.04879E-5; 13.9773
141.357412; 2.04950E-5; 14.0129
141.723623; 2.05017E-5; 14.0487
142.089834; 2.05084E-5; 14.0849
142.456045; 2.05152E-5; 14.1205
142.822256; 2.05219E-5; 14.1563
143.188467; 2.05285E-5; 14.1931
143.554677; 2.05358E-5; 14.2312
143.920888; 2.05447E-5; 14.2704
144.287099; 2.05561E-5; 14.3088
144.653310; 2.05693E-5; 14.3439
145.019521; 2.05823E-5; 14.3742
