* Measurement data measured by REW V5.40 beta 112
* Source: SSL 2+, MICROPHONE, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2026, 11:39:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L RDSL-TWDV-1025-B001 Jan 7
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz); SPL(dB); Phase(degrees)
87.158198; 47.036; 14.0061
87.524409; 47.039; 14.0748
87.890619; 47.041; 14.1383
88.256830; 47.043; 14.1996
88.623041; 47.045; 14.2620
88.989252; 47.047; 14.3267
89.355463; 47.049; 14.3915
89.721674; 47.051; 14.4528
90.087885; 47.054; 14.5083
90.454096; 47.056; 14.5587
90.820307; 47.058; 14.6073
91.186518; 47.060; 14.6575
91.552729; 47.061; 14.7106
91.918939; 47.063; 14.7659
92.285150; 47.066; 14.8210
92.651361; 47.069; 14.8735
93.017572; 47.073; 14.9228
93.383783; 47.075; 14.9703
93.749994; 47.077; 15.0199
94.116205; 47.079; 15.0748
94.482416; 47.080; 15.1357
94.848627; 47.083; 15.2004
95.214838; 47.086; 15.2636
95.581049; 47.090; 15.3215
95.947259; 47.094; 15.3739
96.313470; 47.096; 15.4240
96.679681; 47.098; 15.4758
97.045892; 47.100; 15.5317
97.412103; 47.102; 15.5914
97.778314; 47.104; 15.6533
98.144525; 47.107; 15.7147
98.510736; 47.110; 15.7738
98.876947; 47.114; 15.8290
99.243158; 47.118; 15.8800
99.609369; 47.121; 15.9276
99.975579; 47.124; 15.9741
100.341790; 47.126; 16.0222
100.708001; 47.128; 16.0747
101.074212; 47.130; 16.1320
101.440423; 47.132; 16.1916
101.806634; 47.135; 16.2510
102.172845; 47.138; 16.3098
102.539056; 47.141; 16.3691
102.905267; 47.143; 16.4307
103.271478; 47.147; 16.4930
103.637689; 47.150; 16.5528
104.003899; 47.154; 16.6075
104.370110; 47.157; 16.6575
104.736321; 47.159; 16.7066
105.102532; 47.160; 16.7590
105.468743; 47.162; 16.8162
105.834954; 47.164; 16.8758
106.201165; 47.167; 16.9334
106.567376; 47.170; 16.9861
106.933587; 47.173; 17.0348
107.299798; 47.176; 17.0825
107.666009; 47.178; 17.1323
108.032219; 47.181; 17.1853
108.398430; 47.184; 17.2397
108.764641; 47.188; 17.2936
109.130852; 47.192; 17.3458
109.497063; 47.195; 17.3960
109.863274; 47.199; 17.4452
110.229485; 47.202; 17.4958
110.595696; 47.204; 17.5502
110.961907; 47.207; 17.6100
111.328118; 47.209; 17.6737
111.694328; 47.213; 17.7376
112.060539; 47.216; 17.7985
112.426750; 47.219; 17.8560
112.792961; 47.221; 17.9144
113.159172; 47.223; 17.9768
113.525383; 47.226; 18.0417
113.891594; 47.229; 18.1027
114.257805; 47.232; 18.1536
114.624016; 47.235; 18.1955
114.990227; 47.235; 18.2376
115.356438; 47.234; 18.2896
115.722648; 47.235; 18.3517
116.088859; 47.239; 18.4104
116.455070; 47.245; 18.4470
116.821281; 47.250; 18.4534
117.187492; 47.251; 18.4420
117.553703; 47.247; 18.4382
117.919914; 47.241; 18.4637
118.286125; 47.235; 18.5207
118.652336; 47.234; 18.5935
119.018547; 47.235; 18.6629
119.384758; 47.237; 18.7237
119.750968; 47.238; 18.7879
120.117179; 47.240; 18.8703
120.483390; 47.244; 18.9716
120.849601; 47.254; 19.0732
121.215812; 47.268; 19.1506
121.582023; 47.282; 19.1926
121.948234; 47.292; 19.2104
122.314445; 47.298; 19.2282
122.680656; 47.300; 19.2661
123.046867; 47.303; 19.3255
123.413078; 47.307; 19.3933
123.779288; 47.313; 19.4553
124.145499; 47.318; 19.5082
124.511710; 47.322; 19.5601
124.877921; 47.324; 19.6203
125.244132; 47.326; 19.6898
125.610343; 47.330; 19.7611
125.976554; 47.335; 19.8244
126.342765; 47.339; 19.8771
126.708976; 47.342; 19.9247
127.075187; 47.343; 19.9756
127.441398; 47.345; 20.0335
127.807608; 47.347; 20.0957
128.173819; 47.350; 20.1556
128.540030; 47.354; 20.2086
128.906241; 47.358; 20.2551
129.272452; 47.361; 20.2988
129.638663; 47.364; 20.3445
130.004874; 47.366; 20.3936
130.371085; 47.369; 20.4447
130.737296; 47.373; 20.4946
131.103507; 47.377; 20.5417
131.469718; 47.381; 20.5865
131.835928; 47.385; 20.6312
132.202139; 47.388; 20.6779
132.568350; 47.392; 20.7278
132.934561; 47.395; 20.7800
133.300772; 47.399; 20.8325
133.666983; 47.403; 20.8846
134.033194; 47.406; 20.9361
134.399405; 47.409; 20.9880
134.765616; 47.412; 21.0414
135.131827; 47.415; 21.0967
135.498037; 47.418; 21.1530
135.864248; 47.421; 21.2091
136.230459; 47.424; 21.2644
136.596670; 47.428; 21.3187
136.962881; 47.431; 21.3713
137.329092; 47.435; 21.4215
137.695303; 47.438; 21.4684
138.061514; 47.441; 21.5133
138.427725; 47.444; 21.5590
138.793936; 47.446; 21.6087
139.160147; 47.449; 21.6624
139.526357; 47.452; 21.7177
139.892568; 47.456; 21.7707
140.258779; 47.461; 21.8196
140.624990; 47.464; 21.8662
140.991201; 47.468; 21.9141
141.357412; 47.472; 21.9657
141.723623; 47.476; 22.0192
142.089834; 47.480; 22.0712
142.456045; 47.484; 22.1197
142.822256; 47.488; 22.1662
143.188467; 47.491; 22.2145
143.554677; 47.494; 22.2676
143.920888; 47.497; 22.3264
144.287099; 47.501; 22.3879
144.653310; 47.506; 22.4475
145.019521; 47.511; 22.5008
145.385732; 47.517; 22.5456
145.751943; 47.521; 22.5829
146.118154; 47.525; 22.6171
146.484365; 47.527; 22.6539
146.850576; 47.529; 22.6978
147.216787; 47.531; 22.7498
147.582997; 47.534; 22.8065
147.949208; 47.538; 22.8621
148.315419; 47.542; 22.9119
148.681630; 47.546; 22.9557
149.047841; 47.550; 22.9980
149.414052; 47.552; 23.0440
149.780263; 47.554; 23.0966
150.146474; 47.557; 23.1539
150.512685; 47.560; 23.2122
150.878896; 47.564; 23.2688
151.245107; 47.568; 23.3234
151.611317; 47.572; 23.3773
151.977528; 47.576; 23.4306
152.343739; 47.581; 23.4817
152.709950; 47.585; 23.5271
153.076161; 47.589; 23.5662
153.442372; 47.592; 23.6014
153.808583; 47.593; 23.6388
154.174794; 47.595; 23.6835
154.541005; 47.596; 23.7371
154.907216; 47.599; 23.7965
155.273427; 47.603; 23.8554
155.639637; 47.609; 23.9086
156.005848; 47.615; 23.9541
156.372059; 47.620; 23.9937
156.738270; 47.625; 24.0324
157.104481; 47.628; 24.0749
157.470692; 47.632; 24.1231
157.836903; 47.636; 24.1766
158.203114; 47.641; 24.2328
158.569325; 47.646; 24.2896
158.935536; 47.651; 24.3456
159.301746; 47.655; 24.3996
159.667957; 47.660; 24.4514
160.034168; 47.664; 24.5014
160.400379; 47.667; 24.5513
160.766590; 47.669; 24.6038
161.132801; 47.671; 24.6602
161.499012; 47.674; 24.7185
161.865223; 47.677; 24.7742
162.231434; 47.680; 24.8234
162.597645; 47.683; 24.8670
162.963856; 47.685; 24.9097
163.330066; 47.688; 24.9551
163.696277; 47.692; 25.0010
164.062488; 47.696; 25.0408
164.428699; 47.702; 25.0696
164.794910; 47.706; 25.0904
165.161121; 47.708; 25.1138
165.527332; 47.710; 25.1505
165.893543; 47.713; 25.2028
166.259754; 47.718; 25.2635
166.625965; 47.725; 25.3219
166.992176; 47.733; 25.3723
167.358386; 47.740; 25.4171
167.724597; 47.745; 25.4643
168.090808; 47.749; 25.5201
168.457019; 47.753; 25.5852
168.823230; 47.758; 25.6552
169.189441; 47.763; 25.7235
169.555652; 47.769; 25.7837
169.921863; 47.772; 25.8328
170.288074; 47.774; 25.8751
170.654285; 47.772; 25.9228
171.020496; 47.770; 25.9874
171.386706; 47.770; 26.0666
171.752917; 47.774; 26.1387
172.119128; 47.782; 26.1742
172.485339; 47.788; 26.1626
172.851550; 47.787; 26.1293
173.217761; 47.780; 26.1238
173.583972; 47.774; 26.1773
173.950183; 47.778; 26.2665
174.316394; 47.793; 26.3247
174.682605; 47.811; 26.3034
175.048816; 47.820; 26.2285
175.415026; 47.816; 26.1942
175.781237; 47.809; 26.2823
176.147448; 47.820; 26.4720
176.513659; 47.854; 26.6312
176.879870; 47.898; 26.6259
177.246081; 47.923; 26.4632
177.612292; 47.909; 26.3317
177.978503; 47.870; 26.4815
178.344714; 47.851; 27.0092
178.710925; 47.900; 27.7045
179.077136; 48.022; 28.1397
179.443346; 48.168; 27.9850
179.809557; 48.264; 27.2599
180.175768; 48.262; 26.3225
180.541979; 48.164; 25.6548
180.908190; 48.023; 25.5930
181.274401; 47.913; 26.1211
181.640612; 47.880; 26.8792
182.006823; 47.914; 27.4357
182.373034; 47.965; 27.6012
182.739245; 47.988; 27.4950
183.105455; 47.972; 27.3752
183.471666; 47.937; 27.4194
183.837877; 47.915; 27.6164
184.204088; 47.916; 27.8217
184.570299; 47.931; 27.9090
184.936510; 47.941; 27.8733
185.302721; 47.937; 27.8074
185.668932; 47.925; 27.8031
186.035143; 47.917; 27.8738
186.401354; 47.920; 27.9585
186.767565; 47.932; 27.9955
187.133775; 47.943; 27.9759
187.499986; 47.947; 27.9443
187.866197; 47.946; 27.9478
188.232408; 47.946; 27.9992
188.598619; 47.952; 28.0740
188.964830; 47.963; 28.1369
189.331041; 47.976; 28.1728
189.697252; 47.985; 28.1935
190.063463; 47.990; 28.2209
190.429674; 47.994; 28.2670
190.795885; 47.998; 28.3296
191.162095; 48.002; 28.3983
191.528306; 48.008; 28.4648
191.894517; 48.013; 28.5257
192.260728; 48.019; 28.5799
192.626939; 48.023; 28.6269
192.993150; 48.026; 28.6689
193.359361; 48.027; 28.7117
193.725572; 48.028; 28.7594
194.091783; 48.030; 28.8113
194.457994; 48.032; 28.8617
194.824205; 48.036; 28.9052
195.190415; 48.039; 28.9416
195.556626; 48.042; 28.9753
195.922837; 48.045; 29.0115
196.289048; 48.049; 29.0509
196.655259; 48.053; 29.0904
197.021470; 48.058; 29.1277
197.387681; 48.063; 29.1644
197.753892; 48.068; 29.2033
198.120103; 48.073; 29.2448
198.486314; 48.079; 29.2856
198.852525; 48.084; 29.3240
199.218735; 48.089; 29.3629
199.584946; 48.093; 29.4081
199.951157; 48.098; 29.4616
200.317368; 48.104; 29.5170
200.683579; 48.111; 29.5638
201.049790; 48.117; 29.5981
201.416001; 48.121; 29.6292
201.782212; 48.122; 29.6736
202.148423; 48.124; 29.7383
202.514634; 48.129; 29.8119
202.880845; 48.137; 29.8711
203.247055; 48.145; 29.9029
203.613266; 48.148; 29.9211
203.979477; 48.146; 29.9612
